Date,Open,High,Low,Close,Adj Close,Volume
2022-03-08,0.732594,0.758263,0.726979,0.739497,0.739497,152444222
2022-03-09,0.739715,0.779073,0.739715,0.768778,0.768778,162926708
2022-03-10,0.768470,0.779612,0.724753,0.731210,0.731210,161145479
2022-03-11,0.731144,0.731144,0.700802,0.703804,0.703804,147997239
2022-03-12,0.703612,0.720864,0.702825,0.706042,0.706042,81992079
2022-03-13,0.705847,0.715653,0.678203,0.682473,0.682473,84245362
2022-03-14,0.682429,0.708386,0.676032,0.706907,0.706907,140799440
2022-03-15,0.706859,0.726255,0.681439,0.716973,0.716973,179073279
2022-03-16,0.716949,0.737878,0.699377,0.737240,0.737240,206146303
2022-03-17,0.737268,0.759932,0.723382,0.743077,0.743077,200041284
2022-03-18,0.742925,0.762730,0.728338,0.757296,0.757296,216223119
2022-03-19,0.756975,0.779562,0.755625,0.764453,0.764453,219745801
2022-03-20,0.764562,0.776353,0.736605,0.742213,0.742213,166871308
2022-03-21,0.742240,0.825169,0.733094,0.825169,0.825169,442243371
2022-03-22,0.825562,0.850026,0.805504,0.824602,0.824602,384824564
2022-03-23,0.824837,0.838421,0.806647,0.837494,0.837494,231787233
2022-03-24,0.837675,0.906447,0.822988,0.891579,0.891579,342000462
2022-03-25,0.891533,0.947176,0.883852,0.889912,0.889912,362026711
2022-03-26,0.889928,0.918989,0.879033,0.912392,0.912392,187726573
2022-03-27,0.912437,0.948829,0.897306,0.948368,0.948368,182786495
2022-03-28,0.948490,0.971113,0.903909,0.908194,0.908194,260978608
2022-03-29,0.907587,0.961836,0.903473,0.923415,0.923415,297453002
2022-03-30,0.923384,0.954614,0.889623,0.926929,0.926929,284923007
2022-03-31,0.926957,0.986872,0.912485,0.927631,0.927631,347770069
2022-04-01,0.927818,0.960106,0.894965,0.939183,0.939183,266226735
2022-04-02,0.939262,0.975108,0.904359,0.905565,0.905565,292730943
2022-04-03,0.905466,0.946272,0.892901,0.934088,0.934088,208697698
2022-04-04,0.934073,0.935484,0.855834,0.883821,0.883821,258918098
2022-04-05,0.883864,0.899575,0.834227,0.835108,0.835108,216485494
2022-04-06,0.834738,0.835251,0.767347,0.767548,0.767548,279034243
2022-04-07,0.767482,0.806550,0.754924,0.801546,0.801546,171599721
2022-04-08,0.801431,0.808941,0.753770,0.757422,0.757422,142239348
2022-04-09,0.757444,0.788795,0.757444,0.788707,0.788707,104779713
2022-04-10,0.788696,0.789400,0.753789,0.753789,0.753789,95242287
2022-04-11,0.753411,0.759868,0.684283,0.691414,0.691414,178042773
2022-04-12,0.691995,0.743148,0.688546,0.724837,0.724837,179450303
2022-04-13,0.724932,0.746913,0.716154,0.745761,0.745761,164241827
2022-04-14,0.745255,0.760325,0.717019,0.726351,0.726351,235512496
2022-04-15,0.726371,0.742061,0.723380,0.739456,0.739456,176669693
2022-04-16,0.739386,0.749219,0.730413,0.744795,0.744795,114846208
2022-04-17,0.744523,0.744952,0.708132,0.710989,0.710989,123633194
2022-04-18,0.711093,0.739629,0.689978,0.737030,0.737030,183130195
2022-04-19,0.737021,0.761561,0.730585,0.759519,0.759519,176558754
2022-04-20,0.759492,0.770415,0.733058,0.741325,0.741325,169080903
2022-04-21,0.741282,0.770056,0.711530,0.718713,0.718713,220325412
2022-04-22,0.718636,0.731238,0.713057,0.720447,0.720447,143442976
2022-04-23,0.720277,0.722684,0.706021,0.708088,0.708088,111792484
2022-04-24,0.707913,0.714272,0.698625,0.700633,0.700633,99169601
2022-04-25,0.700834,0.705410,0.657331,0.703314,0.703314,217293783
2022-04-26,0.703264,0.722780,0.646852,0.655285,0.655285,213615375
2022-04-27,0.655430,0.677529,0.650865,0.670329,0.670329,154129144
2022-04-28,0.670433,0.712971,0.663562,0.699503,0.699503,227820442
2022-04-29,0.699299,0.707520,0.623249,0.636792,0.636792,214364306
2022-04-30,0.636926,0.639273,0.542953,0.567972,0.567972,175022852
2022-05-01,0.568044,0.604670,0.567574,0.601941,0.601941,174632654
2022-05-02,0.601915,0.644388,0.582064,0.615959,0.615959,208512646
2022-05-03,0.615998,0.735689,0.613302,0.669816,0.669816,806953747
2022-05-04,0.669699,0.714550,0.655039,0.714433,0.714433,496140518
2022-05-05,0.714531,0.727706,0.618638,0.634279,0.634279,325775330
2022-05-06,0.634242,0.708943,0.630016,0.696925,0.696925,551238247
2022-05-07,0.696775,0.772309,0.676187,0.752375,0.752375,631163186
2022-05-08,0.752045,0.781189,0.709836,0.725930,0.725930,627835795
2022-05-09,0.725924,0.752623,0.580643,0.580643,0.580643,601961290
2022-05-10,0.579448,0.658819,0.557409,0.584866,0.584866,585516113
2022-05-11,0.584664,0.602020,0.410537,0.445101,0.445101,666386164
2022-05-12,0.445736,0.479051,0.357370,0.418884,0.418884,472506369
2022-05-13,0.418837,0.506344,0.415984,0.441429,0.441429,272811411
2022-05-14,0.441583,0.471060,0.420499,0.463376,0.463376,177896122
2022-05-15,0.463328,0.492524,0.445564,0.491170,0.491170,121955453
2022-05-16,0.490947,0.490947,0.441114,0.457155,0.457155,155402416
2022-05-17,0.457376,0.506210,0.457376,0.495451,0.495451,164358298
2022-05-18,0.495472,0.502049,0.433001,0.433001,0.433001,161960536
2022-05-19,0.432792,0.462393,0.422741,0.448932,0.448932,155643692
2022-05-20,0.449061,0.457117,0.421188,0.435068,0.435068,133976745
2022-05-21,0.434940,0.441634,0.424507,0.434132,0.434132,112695975
2022-05-22,0.434166,0.447934,0.425177,0.444305,0.444305,133012863
2022-05-23,0.444058,0.451529,0.414064,0.415417,0.415417,166561653
2022-05-24,0.415508,0.421283,0.392795,0.418318,0.418318,129473758
2022-05-25,0.418252,0.420988,0.400235,0.404882,0.404882,124203274
2022-05-26,0.404982,0.411369,0.368635,0.380779,0.380779,162560229
